episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
1,-7.339999999999999,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,0.985664
2,-7.3199999999999985,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,0.985664
3,-7.279999999999999,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_left_center,1.027999999999997,28,0.985664
4,-7.34,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,0.985664
5,-7.33,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,hard,hard_complex_3,1.027999999999997,28,0.985664
6,-7.3,28,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.027999999999997,28,0.985664
7,-7.29,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.027999999999997,28,0.985664
8,-7.3199999999999985,28,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,medium,medium_right_center,1.027999999999997,28,0.985664
9,-7.369999999999999,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,0.985664
10,-7.279999999999999,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.027999999999997,28,0.985664
11,-7.3,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_complex_10,1.027999999999997,28,0.985664
12,-7.32,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,0.985664
13,-7.34,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,0.985664
14,-7.34,28,Collision with A (Jump obstacle) at lane 0 - Failed to jump,A_no_jump,easy,easy_left_A,1.027999999999997,28,0.985664
15,-7.34,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_complex_1,1.027999999999997,28,0.985664
16,-7.33,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.027999999999997,28,0.985664
17,-7.289999999999999,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_sides_A,1.027999999999997,28,0.985664
18,-7.3,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,0.985664
19,-7.289999999999999,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,0.985664
20,-7.289999999999999,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,0.985664
21,-7.35,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.027999999999997,28,0.985664
22,-7.299999999999999,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,hard,hard_complex_7,1.027999999999997,28,0.985664
23,-7.359999999999999,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,0.985664
24,-7.319999999999999,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.027999999999997,28,0.985664
25,-7.31,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.027999999999997,28,0.985664
26,-7.31,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,0.985664
27,-7.299999999999999,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,0.985664
28,-7.319999999999999,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,0.985664
29,-7.31,28,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_mixed_LR,1.027999999999997,28,0.985664
30,-7.27,28,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_left_center,1.027999999999997,28,0.985664
31,-7.31,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.027999999999997,28,0.985664
32,-7.34,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,hard,hard_sides_block_1,1.027999999999997,28,0.985664
